Physics,TCR,Entrance discussion,Revision 
Electric charges and fields,ABR,ABR,ARJ
Electrostatic potential and capacitance,ABR,,ARJ
Current electricity,ARJ,ARJ,NSR
Moving charges and magnetism,ARJ,ARJ,ARJ
Magnetism and matter,ARJ,,
Electromagnetic induction,JN,,NSR
Alternating current,ARJ,,NSR
Electromagnetic wave,JN,,
Ray optics,ARJ,,NSR
Wave optics,ARJ,,NSR
Dual nature ,ABR,,NSR
Atoms,ABR,,ARJ
Nuclei,ARJ,,NSR
Semiconductors,ARJ,,
,,,
,,,
CHEMISTRY,TCR,Entrance discussion,Revision 
Solutions,CAZ,CAZ,CAZ
Electrochemistry,CY,CY,CY
Chemical kinetics,CY,CY,CY
D and f block,CAZ,,CY
Coordination compound,CAZ,,CAZ
Haloalkanes and haloarenes,JSL,need 2H,CY
"Alcohols,phenols and ethers",CY,,CY
"Aldehydes, ketone and carboxylate acids",CY,,CY
Amines,CAZ,,CY
Bio molecules,CY,,CY
,,,
Maths,TCR,Entrance discussion,Revision 
Relations and functions,SRJ,MRS,MF
Inverse trignometry,SRJ,,MRS
Matrices,MF,MF,
Determinants,MF,MF,
Continuity and differentiability,MF,MRS,SRJ
Applications of derivatives,MRS,,ADL
Integrals,MF,,SRJ
Applications of integrals,MF,,SRJ
Differential equations,MRS,,MF
Vector algebra,ADL,,MRS
Three dimensional geometry,ADL,,MF
Linear programming,SRJ,,MF
Probability ,ADL,,MRS
ZOOLOGY,TCR,Entrance discussion,Revision 
Human reproduction,AZ,,IQ
Reproductive health,IQ,,AZ
Principles of heredity and variation,AZ,,IQ
Molecular basis of inheritance,AZ,,IQ
Evolution,IQ,,AZ
Human health and Diseases,IQ,,AZ
Microbes in human welfare,AZ,,AZ
Biodiversity and conservation,AZ,,AZ
,,,
BOTANY,TCR,Entrance discussion,revision 
Sexual reproduction in flowering plant,JS,JS,JS
Biotechnology principles and processes,SHM,SHM,JS
Biotechnology and its application,JS,,
Organism and population,SHM,,JS
Ecosystem,JS,,
,,,
